None	aaaa	bbbb	cccc	dddd	eeee	ffff	gggg	hhhh	iiii	jjjj	kkkk	llll
CG18538|NP_611314.2|DMEL	389.0	0	0	0	0	213.0	0	202.6	0	0	0	0
CheB42c|NP_995764.2|DMEL	412.1	0	0	0	0	0	0	231.9	249.6	0	0	0
CheB38c|NP_610061.2|DMEL	414.8	0	0	0	0	0	0	231.9	207.2	0	0	0
TwdlK|NP_651488.1|DMEL	447.6	0	0	0	0	387.9	0	0	0	0	245.0	0
TwdlJ|NP_651489.2|DMEL	467.2	0	0	0	0	389.8	0	0	0	0	234.6	0
CG18636|NP_995714.2|DMEL	723.8	0	0	0	0	0	320.5	206.85	0	0	0	0
CG43336|NP_001247122.1|DMEL	578.2	0	0	0	0	0	315.8	186.2	0	0	0	0
CG33462|NP_995844.2|DMEL	642.9	0	0	0	0	255.0	0	186.8	0	0	0	0
CG33461|NP_995843.3|DMEL	606.3	0	0	0	0	251.5	0	211.1	0	0	0	0
Ir52b|NP_725469.2|DMEL	1184.1	0	0	0	0	0	0	604.4	460.7	0	0	0
Ir52a|NP_611041.2|DMEL	1197.6	0	0	0	0	0	0	609.4	494.8	0	0	0
Ir52d|NP_611042.2|DMEL	1201.8	0	0	0	683.3	0	0	0	498.05	0	0	0
Ir52c|NP_725470.1|DMEL	1209.9	0	0	0	677.2	0	0	0	466.1	0	0	0
Gr22b|NP_001014456.1|DMEL	762.7	0	0	0	0	333.2	0	0	0	272.7	0	0
Gr22f|NP_722729.2|DMEL	746.9	0	0	0	0	327.8	0	0	0	245.35000000000002	0	0
CG17198|NP_001287532.1|DMEL	554.3	0	0	0	0	0	129.32500000000002	135.2	0	0	0	0
CG17197|NP_651425.2|DMEL	493.4	0	0	0	0	0	168.525	134.0	0	0	0	0
CG17196|NP_651426.1|DMEL	495.7	0	0	0	0	236.5	173.4666666666667	141.7	0	0	0	0
CG17195|NP_651427.2|DMEL	511.1	0	0	0	0	224.9	154.56666666666666	118.2	0	0	0	0
CG13029|NP_648928.1|DMEL	515.0	0	0	0	0	0	167.52499999999998	123.6	0	0	0	0
Drsl4|NP_728862.1|DMEL	152.1	0	0	0	0	0	108.2	88.46666666666665	0	0	0	0
Drsl3|NP_728861.1|DMEL	152.5	0	0	0	0	0	105.9	77.93333333333334	0	0	0	0
Cyp4p3|NP_610473.1|DMEL	1037.3	0	0	0	0	800.4	0	701.8	0	0	0	0
Cyp4p1|NP_524828.1|DMEL	1031.6	0	0	0	0	801.6	0	698.7	0	0	0	0
CG15820|NP_647696.1|DMEL	645.2	0	0	0	0	0	0	430.3	421.8	0	0	0
CG5704|NP_652068.1|DMEL	694.5	0	0	0	0	0	0	428.3	471.5	0	0	0
Eig71Ea|NP_524088.2|DMEL	211.5	0	0	0	0	0	130.2	0	0	65.5	0	0
Eig71Ed|NP_524091.1|DMEL	203.8	0	0	0	0	0	125.2	0	0	62.4	0	0
CG13110|NP_609282.1|DMEL	289.3	0	0	0	0	0	0	0	104.55000000000001	0	99.4	0
CG31347|NP_731735.1|DMEL	298.1	0	0	0	0	0	0	0	107.5	0	102.8	0
CG14391|NP_650225.2|DMEL	280.8	0	0	0	0	0	0	0	100.35	0	86.7	0
Eig71Eg|NP_524094.2|DMEL	206.1	0	0	0	0	0	0	0	0	75.1	76.05	0
Eig71Ek|NP_648797.1|DMEL	207.2	0	0	0	0	0	0	0	0	72.8	59.3	0
Eig71Ec|NP_524090.2|DMEL	230.3	0	0	0	0	0	90.1	0	0	0	57.8	0
Eig71Eb|NP_524089.2|DMEL	188.0	0	0	0	0	0	90.1	0	0	0	69.3	0
CG13793|NP_609136.2|DMEL	1151.7	0	829.3	0	814.7	0	0	0	0	0	0	0
CG13794|NP_609137.2|DMEL	1172.9	0	815.8	0	911.4	0	0	0	0	0	0	0
CG13749|NP_610428.2|DMEL	288.1	0	0	0	0	0	0	0	156.8	0	86.3	0
CG33470|NP_995829.2|DMEL	390.2	0	0	0	0	0	0	0	154.5	0	100.5	0
IMPPP|NP_725288.1|DMEL	390.2	0	0	0	0	0	0	0	154.5	0	100.5	0
CG44142|NP_001262532.1|DMEL	102.1	0	74.7	0	0	0	0	0	0	0	40.8	0
CG45080|NP_001287312.1|DMEL	101.7	0	71.2	0	0	0	0	0	0	0	0	0
Gr36c|NP_724040.1|DMEL	769.6	0	0	0	0	318.2	0	346.7	0	0	0	0
Gr36b|NP_724039.1|DMEL	742.7	0	0	0	0	312.8	0	346.7	0	0	0	0
Ugt303B1|NP_651153.1|DMEL	1034.6	0	0	0	630.6	0	0	627.5	0	0	0	0
Ugt303B3|NP_651152.1|DMEL	1076.2	0	0	0	629.0	0	0	598.6	0	0	0	0
CG9616|NP_650347.2|DMEL	318.5	0	0	0	0	86.3	97.8	0	0	0	0	0
CG43291|NP_001247093.1|DMEL	288.5	0	0	0	0	85.1	68.2	0	0	0	0	0
CG42690|NP_001188981.1|DMEL	266.5	0	65.5	0	0	82.0	0	0	0	0	0	0
CG42691|NP_001188982.1|DMEL	195.7	0	75.5	0	0	57.4	0	0	0	0	0	0
CG32192|NP_730325.1|DMEL	276.6	0	177.2	0	0	0	0	0	0	0	0	0
CG42393|NP_001137967.1|DMEL	266.2	0	175.6	0	0	0	0	40.4	0	0	0	0
CheB53b|NP_001014531.1|DMEL	426.8	0	0	0	0	0	225.3	0	173.9	0	0	0
CheB53a|NP_001014530.1|DMEL	457.2	0	0	0	0	0	221.5	0	174.3	0	0	0
CG31680|NP_724273.1|DMEL	295.4	0	139.4	0	0	0	80.9	0	0	0	0	0
CG17472|NP_610040.1|DMEL	319.3	0	141.4	0	0	0	91.3	0	0	0	0	0
Spn38F|NP_524956.2|DMEL	724.5	520.0	0	0	0	0	334.0	0	0	0	0	0
Spn28F|NP_524957.2|DMEL	722.2	515.4	0	0	0	0	326.6	0	0	0	0	0
